[2025-11-26 20:26:36] Capsule not found on resurfacing.
[2025-11-26 20:26:41] Capsule not found on resurfacing.
[2025-11-26 20:26:46] Capsule not found on resurfacing.
[2025-11-26 20:26:51] Capsule not found on resurfacing.
[2025-11-26 20:26:56] Capsule not found on resurfacing.
[2025-11-26 20:27:01] Capsule not found on resurfacing.
[2025-11-26 20:27:06] Capsule not found on resurfacing.
[2025-11-26 20:27:11] Capsule not found on resurfacing.
[2025-11-26 20:27:16] Capsule not found on resurfacing.
[2025-11-26 20:27:21] Capsule not found on resurfacing.
[2025-11-26 20:27:26] Capsule not found on resurfacing.
[2025-11-26 20:27:31] Capsule not found on resurfacing.
[2025-11-26 20:27:36] Capsule not found on resurfacing.
[2025-11-26 20:27:41] Capsule not found on resurfacing.
[2025-11-26 20:27:46] Capsule not found on resurfacing.
[2025-11-28 04:32:25] Scanning for DataStream Capsule...
[2025-11-28 04:33:26] Scanning for DataStream Capsule...
[2025-11-28 04:33:26] Found device: 94:A9:90:0C:EF:D1 — connecting...
[2025-11-28 04:33:39] Scanning for DataStream Capsule...
[2025-11-28 04:33:41] Found device: 94:A9:90:0C:EF:D1 — connecting...
[2025-11-28 04:37:04] Scanning for DataStream Capsule...
[2025-11-28 04:37:04] Found device: 94:A9:90:0C:EF:D1 — connecting...
